pshop,price,pname
济南秦汉商贸有限公司,¥3999.00,联想一体机电脑C5030台式机i3-4030U 4G内存1T硬盘2G独显 黑白色
济南秦汉商贸有限公司,¥3099.00,联想台式机电脑F5055 SX2 250 1G独立显卡 家用办公整机 20LED
济南秦汉商贸有限公司,¥5799.00,联想B5040 I5-4460/8G/1T/2G 23LED
济南秦汉商贸有限公司,¥3999.00,联想C5030(I3-4005/4G/1T/2G独显/Rambo/23寸)黑色
江苏虹翔电子有限公司,¥1999.00,长城电脑 一体机 嘉翔G1610
山东钰都通讯科技有限公司,¥7788.00,2015新款Apple/苹果 MacBook Air 11英寸笔记本电脑
山东钰都通讯科技有限公司,¥7988.00,现货APPLE/苹果 ME086CH/A 21.5寸台式一体机新款电脑iMac086
联想自营官方旗舰店,¥6299.00,拯救者Y7000电脑(i5-8300H/8G内存/512G SSD/GTX1050Ti 4G显卡/72%NTSC)黑色81FW000SCD
联想自营官方旗舰店,¥6599.00,拯救者Y7000P电脑(i5-8300H/8G内存/512G SSD/GTX1050Ti 4G/144Hz/72%NTSC)黑色81HC0009CD
联想自营官方旗舰店,¥6999.00,拯救者Y7000电脑(i7-8750H/8G内存/512G SSD/GTX1050Ti 4G显卡/72%NTSC)黑色81FW000UCD
富银数码科技,¥5000.00,Lenovo/联想 笔记本电脑第七代 全新第七代i7 2G独显
联想自营官方旗舰店,¥8099.00,拯救者Y7000电脑(i7-8750H/8G内存/512G SSD/GTX1060 6G/72%NTSC)黑色81LC0004CD
联想自营官方旗舰店,¥7599.00,拯救者Y7000P电脑(i5-8300H/8G内存/512G SSD/GTX1060 6G显卡/144Hz)黑色81LE0005CD
富银数码科技,¥5000.00,HP/惠普 笔记本电脑 第八代 全新处理器 2G独显
方正Apple官方授权专营店,¥2265.00,Apple iPad（2018新款） 平板电脑 9.7英寸
陕西金美格商贸有限责任公司,¥1.00,运费补差
联想自营官方旗舰店,¥4099.00,联想ideapad330C电脑(I5-8250U/4G内存/1T HDD+128G SSD/2GB显卡/15.6英寸)黑色81J60001CD
索亚尼Apple产品专营店,¥2308.00,【年货节抢购 送好礼】2018款 Apple/苹果 iPad 9.7英寸 平板电脑
汉中星际数码有限公司,¥950.00,教育平板-10英寸-WiFi版 Lenovo TB2-X30F TAB 16GBE-CN-EDU
陕西金美格商贸有限责任公司,¥890.00,联想YOGA平板 3 8英寸 WiFi版
富银数码科技,¥4999.00,Lenovo/联想 小新 经典版300 第六代i7笔记本电脑 游戏本手提电脑
石森电商旗舰店,¥35.00,倍思 新款 G9手游吃鸡神器 苹果安卓游戏手柄机械按键吃鸡辅助器
福建通古商贸有限公司,¥159.00,华为honor/荣耀 小天鹅蓝牙音箱迷你手机音响低音炮便携音箱AM08
图鼎数码旗舰店,¥239.00,闪迪（SanDisk）加强版 120G 固态硬盘
图鼎数码旗舰店,¥558.00,西部数据(WD)2TB USB3.0移动硬盘Elements 新元素系列2.5英寸
石森电商旗舰店,¥199.00,Razer/雷蛇 太攀皇蛇3500钻石星辰版有线电竞游戏鼠标吃鸡宏lol编程
富银数码科技,¥1199.00,包邮 罗技G910有线游戏机械键盘电竞专业编程背光游戏键盘
石森电商旗舰店,¥99.00,罗技/Logitech M220静音无线鼠标光电鼠标便携笔记本苹果台式电脑办公家用
清华商贸,¥30.00,独到 DT-223 绕耳式 线控耳机 重低音 跑步防落 运动耳机
小米之家店,¥99.00,小米 小米便携鼠标 无线蓝牙4.0
富银数码科技,¥50.00,清华同方有线键盘鼠标套装 台式笔记本键鼠 游戏家用防水电 脑键盘
图鼎数码旗舰店,¥389.00,西部数据(WD)1TB USB3.0移动硬盘Elements 新元素系列2.5英寸
南阳市瑞科电子技术有限公司,¥3880.00,联想扬天T4960d台式机
南阳市瑞科电子技术有限公司,¥3760.00,联想启天M4390(i3 2130/集成）台式机
南阳市瑞科电子技术有限公司,¥4630.00,联想启天M6400（i5 3470/4GB/500G)台式机
南阳市瑞科电子技术有限公司,¥3560.00,联想扬天M6600d（2030/4G/1T)台式机
南阳市瑞科电子技术有限公司,¥2860.00,联想扬天M3310d（E1-1200/2G/500G)
南阳市瑞科电子技术有限公司,¥3850.00,联想扬天T4940（i3 3240/2G/500G)
濮阳大盛电子科技有限公司,¥3100.00,联想扬天台式整机M2610 G1610 黑色
鄂托克旗盛世联创商贸有限责任公司,¥3899.00,宏基台式电脑Mc605黑色
鄂托克旗盛世联创商贸有限责任公司,¥4099.00,宏基台式电脑AXC100-3A黑色
鄂托克旗盛世联创商贸有限责任公司,¥3799.00,宏基台式一体机AZC605-4黑色
濮阳大盛电子科技有限公司,¥3399.00,联想 扬天M4630 台式整机 黑色
十堰金智恒科技发展有限公司,¥6800.00,惠普EliteDesk 800 G1（E1Z93UT）
重庆市彦哲科技发展有限公司,¥3599.00,联想(Lenovo) G5050 台式电脑 21.5英寸液晶（G1820 4G500G 独显）
重庆市彦哲科技发展有限公司,¥3099.00,联想G5005台式整机 E261104G50D-81（C）炫酷黑
重庆市彦哲科技发展有限公司,¥5099.00,联想（Lenovo）Erazer X310 台式主机（i5-4460 8G 1T 2G独显 Rambo Win8.1）
星城朝阳数码,¥8499.00,ThinkPad X1 Carbon (20FBA00DCD) 14英寸超极笔记本电脑
富银数码科技,¥5299.00,Lenovo/联想 小新 700-15isk旗舰版I5/8G/1T游戏笔记本电脑
星城朝阳数码,¥5399.00,联想(Lenovo)小新Air13 Pro 13.3英寸14.8mm超轻薄笔记本电脑（i5 4G 256G PCIE SSD 940MX 2G FHD
武汉市新九信息技术工程有限公司,¥5999.00,Ideapad320S-14笔记本
星城朝阳数码,¥5999.00,联想 YOGA710 14.0英寸I5-7200U/4G/256G固态/2G独显金色/银色
武汉市新九信息技术工程有限公司,¥7599.00,联想YOGA720-13笔记本电脑
江苏欧意通旗舰店,¥4799.00,Dell/戴尔 成就Vostro 14-V5468-1605 酷睿I5 7代处理器 256G固态开机9秒钟 戴尔笔记本 戴尔电脑 笔记本 笔记本电脑
武汉市新九信息技术工程有限公司,¥6299.00,联想YOGA 710-14笔记本电脑
江苏辰梵电子科技有限公司,¥5299.00,Lenovo/联想 Flex14 I5-4200 4G 500G 2G独显 超级本 十点触控 翻转
江苏欧意通旗舰店,¥5699.00,Dell/戴尔 灵越15(7560) Ins15-1605S 燃7000 戴尔笔记本 256G固态 笔记本 笔记本电脑 戴尔电脑 电脑
江苏欧意通旗舰店,¥5299.00,Dell/戴尔 灵越15(7560) Ins15-1525燃7000 超轻薄游戏本 笔记本电脑 戴尔电脑 笔记本 戴尔
